Name, Rate, Phone Numbers that Start With, 
Afghanistan,0.430,"93, 9370, 9375, 9377, 9378, 9379"
Albania,0.150,"355, 3554"
Albania,0.483,"35567, 35568, 35569"
Algeria,0.159,21321
Algeria,0.176,213
Algeria,0.264,"2131, 2135, 2136, 2137, 2139, 21355, 21361, 21362, 21363, 21364, 21366, 21369, 21377, 21379"
"American Samoa",0.113,"1684, 16842"
Andorra,0.092,376
Andorra,0.457,"3763, 3764, 3766"
Angola,0.253,244
Angola,0.371,"2449, 24491, 24492"
Anguilla,0.189,1264
Anguilla,0.318,"1264235, 1264469, 1264476, 1264536, 1264537, 1264538, 1264539, 1264543, 1264581, 1264582, 1264583, 1264584, 1264729, 1264772"
"Antigua and Barbuda",0.195,"1268, 126872, 126877, 126878, 1268222, 1268268, 1268404, 1268406, 1268409, 1268464, 1268480, 1268481, 1268555, 1268732, 1268734, 1268736, 1268739, 1268764, 1268770, 1268771, 1268772, 1268773, 1268774, 1268775, 1268776, 1268778, 1268779, 1268938"
Argentina,0.030,"54, 5411, 54221, 54223, 54230, 54232, 54237, 54261, 54291, 54299, 54341, 54342, 54348, 54351, 54353, 54354, 54358, 54381, 54387, 542293, 542362"
Argentina,0.280,"549, 54911"
Armenia,0.136,"374, 3741"
Armenia,0.167,37447
Armenia,0.347,"3747, 3749, 37477, 37491, 37493, 37494, 37497, 37498, 37499"
Aruba,0.167,297
Aruba,0.281,297660
Aruba,0.339,"2971, 29756, 29759, 29773, 29774, 29791, 29796, 29799, 297127, 297800, 297900, 297990, 297992, 297993, 297994, 297995, 297996, 297997, 297998, 297999"
Ascension,0.885,247
"Australia/Cocos/Christmas Island",0.040,"61, 61261, 61881, 61882, 61883, 61884, 61892, 61893, 61894"
"Australia/Cocos/Christmas Island",0.100,"611, 614, 615, 6107, 6108, 6116, 61145, 61147, 61400, 61401, 61402, 61403, 61404, 61405, 61406, 61407, 61408, 61409, 61410, 61411, 61412, 61413, 61414, 61415, 61416, 61417, 61418, 61419, 61421, 61422, 61423, 61424, 61425, 61427, 61428, 61429, 61430, 61431, 61432, 61433, 61434, 61435, 61437, 61438, 61439, 61447, 61448, 61449, 61450, 61451, 61458, 61466, 614202, 614203, 614204, 614205, 614206, 614207, 614208, 614209, 614880, 614881, 614882, 614883, 614884, 614885, 614886, 614887, 614889"
Austria,0.030,"43, 431"
Austria,0.150,"4368, 43454, 43644, 43661, 43665, 43667, 43668, 43678"
Austria,0.150,43660
Austria,0.150,"43650, 43663, 43664, 43666, 43669, 43676, 43680, 43681, 43688, 43699"
Austria,0.450,"438, 439, 4350, 4357, 4359, 43677, 43711, 43720, 43730, 43740, 43780, 43810, 43820, 436555, 4369988, 4369989"
Azerbaijan,0.342,"994, 99412, 99444, 99451, 99460"
Azerbaijan,0.348,"99440, 99450, 99455, 99470"
Bahamas,0.071,"1242, 1242357, 1242359, 1242424, 1242457, 1242557"
